nombre_act,codigo_act
Camaronicultura y acuicultura de otros crustáceos en agua salada,112513
Camaronicultura y acuicultura de otros crustáceos en agua dulce,112514
Piscicultura en agua dulce,112515
Piscicultura en agua salada,112516
Otra acuicultura,112519
Pesca de camarón,114111
Pesca de túnidos,114112
Pesca de sardina y anchoveta,114113
"Pesca y captura de peces, crustáceos, moluscos y otras especies",114119
Servicios de fumigación agrícola,115111
Despepite de algodón,115112
Beneficio de productos agrícolas,115113
Otros servicios relacionados con la agricultura,115119
Servicios relacionados con la cría y explotación de animales,115210
Minería de carbón mineral,212110
Minería de hierro,212210
Minería de oro,212221
Minería de plomo y zinc,212232
Minería de piedra caliza,212311
Minería de otras piedras dimensionadas,212319
Minería de arena y grava para la construcción,212321
Minería de sal,212391
Otros servicios relacionados con la minería,213119
Generación de electricidad a partir de combustibles fósiles,221111
Generación de electricidad a partir de energía eólica,221114
Transmisión de energía eléctrica,221121
Distribución de energía eléctrica,221122
Comercialización de energía eléctrica,221123
Suministro de gas natural por ductos al consumidor final,221210
"Captación, tratamiento y suministro de agua realizados por el sector privado",221311
"Captación, tratamiento y suministro de agua realizados por el sector público",221312
Edificación de vivienda unifamiliar,236111
Edificación de vivienda multifamiliar,236112
Supervisión de edificación residencial,236113
"Edificación de naves y plantas industriales, excepto la supervisión",236211
Supervisión de edificación de naves y plantas industriales,236212
"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",236221
Supervisión de edificación de inmuebles comerciales y de servicios,236222
"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",237111
Construcción de sistemas de riego agrícola,237112
Construcción de sistemas de distribución de petróleo y gas,237121
Construcción de obras de generación y conducción de energía eléctrica,237131
Construcción de obras para telecomunicaciones,237132
Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones,237133
División de terrenos,237211
Construcción de obras de urbanización,237212
Supervisión de división de terrenos y de construcción de obras de urbanización,237213
Instalación de señalamientos y protecciones en obras viales,237311
"Construcción de carreteras, puentes y similares",237312
Construcción de presas y represas,237991
"Construcción de obras marítimas, fluviales y subacuáticas",237992
Otras construcciones de ingeniería civil,237999
Trabajos de cimentaciones,238110
Montaje de estructuras de concreto prefabricadas,238121
Montaje de estructuras de acero prefabricadas,238122
Trabajos de albañilería,238130
Otros trabajos en exteriores,238190
Instalaciones eléctricas en construcciones,238210
Instalaciones hidrosanitarias y de gas,238221
Instalaciones de sistemas centrales de aire acondicionado y calefacción,238222
Otras instalaciones y equipamiento en construcciones,238290
Colocación de muros falsos y aislamiento,238311
Trabajos de pintura y otros cubrimientos de paredes,238320
Colocación de pisos flexibles y de madera,238330
Colocación de pisos cerámicos y azulejos,238340
Realización de trabajos de carpintería en el lugar de la construcción,238350
Otros trabajos de acabados en edificaciones,238390
Preparación de terrenos para la construcción,238910
Otros trabajos especializados para la construcción,238990
Elaboración de alimentos para animales,311110
Elaboración de harina de trigo,311212
Elaboración de harina de maíz,311213
Elaboración de malta,311215
Elaboración de aceites y grasas vegetales comestibles,311222
Elaboración de cereales para el desayuno,311230
"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",311340
Elaboración de chocolate y productos de chocolate,311350
Congelación de frutas y verduras,311411
Congelación de guisos y otros alimentos preparados,311412
Deshidratación de frutas y verduras,311421
Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,311422
Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación,311423
Elaboración de leche líquida,311511
Elaboración de derivados y fermentos lácteos,311513
Elaboración de helados y paletas,311520
"Matanza de ganado, aves y otros animales comestibles",311611
"Corte y empacado de carne de ganado, aves y otros animales comestibles",311612
"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles",311613
Elaboración de manteca y otras grasas animales comestibles,311614
Preparación y envasado de pescados y mariscos,311710
Panificación industrial,311811
Panificación tradicional,311812
Elaboración de tortillas de harina de trigo de forma tradicional,311813
Elaboración de galletas y pastas para sopa,311820
Elaboración de tortillas de maíz y molienda de nixtamal,311830
Elaboración de botanas,311910
Elaboración de café tostado y molido,311922
Elaboración de café instantáneo,311923
Preparación y envasado de té,311924
"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",311930
Elaboración de condimentos y aderezos,311940
Elaboración de alimentos frescos para consumo inmediato,311993
Elaboración de otros alimentos,311999
Elaboración de refrescos y otras bebidas no alcohólicas,312111
Purificación y embotellado de agua,312112
Elaboración de hielo,312113
Elaboración de cerveza,312120
Elaboración de bebidas alcohólicas a base de uva,312131
